Configuration,Partie2_Accuracy,Partie2_F1,Partie3_Accuracy,Partie3_F1,Gain_Accuracy
Baseline (S2 only),0.9414,0.9174,0.9074659400544959,0.7336694815443368,-0.033934059945504136
S2 + Climat,0.9786,0.9711,0.9603269754768392,0.761364832143394,-0.01827302452316082
S2 + Sol,0.9595,0.9383,0.9243596730245232,0.742060927074811,-0.035140326975476865
S2 + Topographie,0.9714,0.9744,0.9375476839237057,0.7590253923062424,-0.03385231607629435
S2 + All,0.9814,0.9723,0.9613079019073569,0.7660291053663271,-0.020092098092643118
